ID,예민함정도,의견수용,말수,시간약속,리더십,체력,청결민감도,여행일정강도,국내or해외,산or바다,계획or즉흥,랜드마크,코골이,웨이팅,여행희망지역,싫어하는기후,여행목적,숙소유형,기상시간,여행예산,Summary,Profile,Rec_People,Rec_Travel
378,보통,다소 완고,보통,종종 늦음,보통,5,보통,보통,국내,바다,계획 여행,적당히 봄,코골이 함,다른 곳 간다,"세계일주,유럽,국내","더움,습함,쌀쌀함","사람&관계,공연&경기관람,기록","상관없음,에어비엔비,민박",오전 8-9시,200-300만원,"저는 여행 중 최악의 경험은 덥거나 습한 기후에서 머무를 때였던 것 같습니다. 이번 여행에서 꼭 챙기고 싶은 것은 사람들과의 소중한 관계를 맺을 수 있는 기회이며, 특히 성격이 유연하고 새로운 경험을 즐길 수 있는 사람과 함께하고 싶습니다. 그리고 공연이나 경기를 즐길 수 있는 시간을 가장 기대하고 있습니다. 이번 여행을 통해 저의 삶에는 단순한 일상에서 벗어나 새로운 경험과 기회를 통해 인간관계를 더 넓히고, 행복한 기억을 기록할 수 있는 시간이 되었으면 좋겠습니다.","이 사용자는 세계일주 지역을 선호하고, 습함 기후를 피하고 싶어해요. 여행 목적은 사람&관계이며, 상관없음에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",,
379,꽤 민감,다소 완고,많다,보통,보통,3,매우 민감,꽤 여유있게,해외,바다,계획 여행,적당히 봄,코골이 안함,다른 곳 간다,"세계일주,일본,유럽","추움,쌀쌀함,상관없음","미식,공연&경기관람,도전과성장","민박,에어비엔비,4-5성급호텔",오전 9-10시,300-400만원,"저는 여행 중 청결이 부족한 숙소에 머무르는 것이 최악의 경험이라고 생각합니다. 이번 여행에서는 계획적인 일정과 함께 미식 경험이 꼭 필요하고, 이를 통해 도전과 성장을 이루고 싶습니다. 함께 여행을 가고 싶은 사람은 의견 수용에 있어 유연하고 시간 약속을 잘 지키는 사람이면 좋겠습니다. 이번 여행에서 가장 기대하는 것은 새로운 공연과 경기를 관람하는 것이며, 이를 통해 제 삶에서 색다른 경험과 문화적 풍요로움을 얻고 싶습니다. 4-5성급 호텔에서 머무르며 여유롭게 일정을 소화하는 것이 이번 여행이 제 삶에 주는 큰 의미가 될 것입니다.","이 사용자는 일본 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 도전과성장이며, 4-5성급호텔에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",,
380,매우 둔감,수용적,매우 적다,매우 정확,보통,5,꽤 민감,매우 여유있게,해외,바다,즉흥 여행,적당히 봄,코골이 함,다른 곳 간다,"유럽,미국,세계일주","쌀쌀함,습함,추움","휴식,미식,기록","3성이하 호텔,민박,펜션",오전 8-9시,300-400만원,"여행 중 최악의 경험은 쌀쌀하고 습한 기후를 만났을 때였어요. 그래서 저는 이번 여행에서 따뜻한 날씨를 꼭 즐기고 싶어요. 같이 여행을 가고 싶은 사람은 의견을 잘 수용하고 대화가 적더라도 편안한 분위기를 만들어주는 사람이에요. 이번 여행에서 가장 기대하는 것은 유럽의 바다에서 느긋하게 휴식하며 다양한 음식을 맛보는 것이에요. 이 여행이 제 삶에 가져다주길 바라는 의미는 일상에서의 휴식을 통해 새로운 활력을 찾고 이를 토대로 더 나은 기록을 남기는 것, 즉 진정한 재충전의 시간이 되기를 바랍니다.","이 사용자는 유럽 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 휴식이며, 펜션에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",,
381,보통,매우 수용적,매우 적다,보통,무조건 따름,5,매우 민감,꽤 빡빡하게,해외,산,즉흥 여행,무조건 다 봄,코골이 안함,기다림,"일본,중국&몽골,그 외","추움,상관없음,습함","도전과성장,액티비티,쇼핑","상관없음,게스트하우스,콘도",오전 8-9시,100만원 이하,"저는 여행 중에 습한 날씨를 가장 피하고 싶고, 신선한 환경이 유지되는 콘도나 게스트하우스에 머무르며 하루를 깔끔히 시작하고 싶습니다. 함께 여행하며 조용히 의견을 수용해주는 사람과의 동반을 선호하는데, 서로 자연에서의 액티비티와 랜드마크 방문 같은 도전적인 일정을 즐길 수 있으면 좋겠습니다. 무엇보다도 이번 여행에서는 새로운 경험으로 인한 성장과 자신감의 증진을 기대하고 있으며, 이러한 경험들이 저의 삶에 긍정적인 변화를 가져다주기를 바랍니다. 저의 여행에서 예기치 못한 변수와 즉흥적인 순간들이 주는 활기를 소중히 하면서도, 일정은 빡빡하게 계획하고 있습니다. hipótese de체력이 준수하니 쿨하게 기다리는 것도 편합니다.","이 사용자는 중국&몽골 지역을 선호하고, 습함 기후를 피하고 싶어해요. 여행 목적은 도전과성장이며, 콘도에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",,
382,보통,매우 수용적,매우 많다,꽤 정확,따르는 편,4,둔감,꽤 빡빡하게,해외,산,즉흥 여행,무조건 다 봄,코골이 함,기다림,"세계일주,동남아,국내","추움,더움,상관없음","기록,자연감상,액티비티","펜션,민박,에어비엔비",오전 8-9시,200-300만원,"저는 해외여행을 선호하며, 추운 날씨나 더운 날씨에 크게 구애받지 않는 편입니다. 여행 중에는 즉흥적인 계획과 빡빡한 일정의 조화를 좋아하고, 랜드마크를 꼭 방문하려고 합니다. 여행 중 최악의 경험이라면 아마 약속 시간에 맞추지 못하는 상황이 가장 힘들 것 같습니다. 여행에서 가장 중요한 것은 좋은 동행인데, 말을 많이 할 수 있고, 서로 수용적인 사람과 함께하고 싶습니다. 이번 여행에서는 그동안 기록에 남긴 다양한 자연 감상을 통해 새로운 활력을 얻고 싶고, 제 삶에 의미 있는 추억을 더하고 싶습니다. 예산은 200-300만원 정도로 잡고 에어비엔비 같은 곳에서 편안하게 지내려 합니다.","이 사용자는 세계일주 지역을 선호하고, 더움 기후를 피하고 싶어해요. 여행 목적은 기록이며, 에어비엔비에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",,
383,매우 민감,매우 완고,매우 적다,종종 늦음,따르는 편,5,둔감,꽤 여유있게,국내,바다,계획 여행,무조건 다 봄,코골이 안함,기다림,"중국&몽골,유럽,일본","습함,상관없음,건조함","자연감상,휴식,사람&관계","에어비엔비,콘도,3성이하 호텔",오전 8-9시,300-400만원,"저는 여행 중 계획에 어긋나거나 정시에 맞추지 못하는 상황을 최악으로 꼽습니다. 민감한 성격이기에 일정은 철저하게 준비해야 마음이 놓입니다. 동행자는 의견을 잘 조율할 수 있는 인내심 있고 침착한 사람이면 좋겠어요. 이번 여행에서는 유럽의 자연을 감상하며 휴식하는 것을 가장 기대하고 있으며, 나만의 여유롭고 의미 있는 시간을 갖고 싶습니다. 이러한 여행은 제게 다시금 삶의 여유와 새로운 관점을 제공하는 중요한 기회가 될 것입니다.","이 사용자는 유럽 지역을 선호하고, 습함 기후를 피하고 싶어해요. 여행 목적은 휴식이며, 3성이하 호텔에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",,
384,꽤 민감,매우 수용적,보통,꽤 정확,보통,2,보통,매우 여유있게,해외,산,계획 여행,무조건 다 봄,코골이 안함,다른 곳 간다,"세계일주,그 외,국내","쌀쌀함,상관없음,추움","기록,휴식,사람&관계","게스트하우스,콘도,3성이하 호텔",오전 8-9시,400만원 이상,"저는 세계일주를 꿈꾸며 여행을 다니고, 여행 중에는 기록과 사람들과의 관계형성을 중요하게 여깁니다. 그래서 계획을 철저히 세우고 여유로운 일정을 선호하며, 특히 중요한 랜드마크는 꼼꼼히 챙겨보는 편이에요. 이전 여행 중 날씨가 추워 힘들었던 경험이 있어 쌀쌀한 기후는 피하고 싶습니다. 예산 제약이 적어 게스트하우스나 콘도에 머물면서 여유롭게 휴식을 취하고 싶으며, 저와 같은 계획적인 사람과의 여행을 선호합니다. 이번 여행에서는 새로운 사람들과의 관계 형성과 삶의 시야를 넓히는 의미를 찾고 기대하고 있습니다.","이 사용자는 국내 지역을 선호하고, 쌀쌀함 기후를 피하고 싶어해요. 여행 목적은 사람&관계이며, 콘도에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",,
385,매우 민감,매우 수용적,매우 적다,자주 늦음,보통,3,보통,꽤 여유있게,국내,산,즉흥 여행,무조건 다 봄,코골이 안함,기다림,"동남아,그 외,유럽","건조함,습함,상관없음","사람&관계,문화&역사체험,도전과성장","4-5성급호텔,민박,상관없음",오전 9-10시,200-300만원,제가 여행 중 가장 두려워하는 것은 특정한 기후가 몸에 맞지 않거나 예기치 않게 계획에 차질이 생기는 상황입니다. 그래서 이번 여행에서는 각국의 랜드마크를 시간에 쫓기지 않고 여유롭게 돌아볼 수 있는 일정이 꼭 필요합니다. 함께 여행할 사람은 이해심이 많고 대화가 즐거운 사람이라면 좋겠습니다. 이번 여행에서 다양한 문화와 역사를 체험하고 새로운 관계를 쌓는 것을 가장 기대하고 있습니다. 이러한 경험은 제 삶의 성장을 촉진할 중요한 도전이 될 것입니다.,"이 사용자는 유럽 지역을 선호하고, 건조함 기후를 피하고 싶어해요. 여행 목적은 사람&관계이며, 상관없음에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",,
386,둔감,매우 완고,매우 적다,자주 늦음,무조건 리드,3,매우 둔감,매우 여유있게,국내,산,계획 여행,무조건 다 봄,코골이 안함,다른 곳 간다,"유럽,국내,동남아","습함,추움,건조함","자연감상,휴식,미식","4-5성급호텔,게스트하우스,에어비엔비",오전 10시 이후,300-400만원,"제가 여행 중 최악의 경험으로 생각하는 것은 시간 약속에 늦어 중요한 일정을 놓치는 것이에요. 이런 상황을 피하기 위해 이번 여행에서는 꼭 필요한 것 중 하나가 여유 있고 사전에 잘 계획된 일정이에요. 함께 여행하고 싶은 사람으로는 느긋하게 자연을 즐기며 세세한 일정 변경에도 이해심 많은 사람이 있어요. 이번 여행에서는 자연을 감상하며 여유롭게 보내는 시간을 가장 기대하고 있고, 그것이 저의 삶에 활력과 새로운 시각을 가져다주기를 바라요. 특히, 산과 아름다운 자연 속에서 휴식하며 재충전을 하고 싶습니다.","이 사용자는 국내 지역을 선호하고, 건조함 기후를 피하고 싶어해요. 여행 목적은 자연감상이며, 게스트하우스에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",,
387,보통,다소 완고,적다,꽤 정확,무조건 따름,3,보통,보통,해외,바다,계획 여행,무조건 다 봄,코골이 함,기다림,"그 외,중국&몽골,국내","더움,상관없음,쌀쌀함","쇼핑,미식,기록","펜션,상관없음,민박",오전 8-9시,100만원 이하,"여행 중 최악의 경험은 계획한 일정이 어긋나거나 극심한 더위나 추위가 예상치 못하게 찾아오는 경우인 것 같습니다. 이번 여행에서 꼭 필요한 것은 명확한 기록을 위한 카메라와 메모 도구이며, 함께 여행할 사람은 의견이 강하지 않고 서로 잘 맞추어가는 사람이라면 좋겠습니다. 여행에서 가장 기대하는 부분은 현지의 독특한 미식과 쇼핑 경험이며, 이는 성실하게 계획한 모든 일정과 랜드마크를 빠짐없이 보는 데 큰 의미가 있습니다. 이번 여행을 통해 일상에서 벗어나 새로운 기록과 경험을 쌓음으로써 삶의 작은 변화를 이끌어내고 싶은 기대가 큽니다.","이 사용자는 그 외 지역을 선호하고, 상관없음 기후를 피하고 싶어해요. 여행 목적은 기록이며, 상관없음에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",,
388,둔감,수용적,보통,보통,무조건 리드,5,둔감,꽤 빡빡하게,국내,바다,즉흥 여행,무조건 다 봄,코골이 안함,기다림,"동남아,유럽,미국","건조함,추움,상관없음","도전과성장,휴식,미식","게스트하우스,콘도,민박",오전 9-10시,100만원 이하,"여행 중 최악의 경험은 아마도 건조하고 추운 날씨일 것입니다. 이번 여행에서는 다양한 랜드마크를 즉흥적으로 방문하며 도전과 성장을 이루고 싶지만, 또한 충분한 휴식을 취하고 맛있는 음식도 즐기고 싶습니다. 같이 여행을 가고 싶은 사람은 수용적이며 함께 다양한 장소를 탐험할 수 있는 기쁨을 공유하는 사람이었으면 좋겠습니다. 이번 여행에서 가장 기대하는 것은 이러한 도전을 통해 성장하는 자신을 발견하는 것입니다. 이 여행을 통해 새로운 경험을 쌓고, 나의 삶에 의미 있는 변화를 더하고 싶습니다.","이 사용자는 미국 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 도전과성장이며, 민박에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",,
389,둔감,다소 완고,매우 많다,꽤 정확,보통,5,보통,꽤 빡빡하게,국내,바다,계획 여행,무조건 다 봄,코골이 안함,기다림,"세계일주,일본,중국&몽골","습함,상관없음,더움","공연&경기관람,문화&역사체험,미식","에어비엔비,펜션,콘도",오전 8-9시,200-300만원,"저는 국내 여행을 주로 계획하며 일정은 빡빡하게 세우는 편입니다. 여행 중 최악의 경험은 더운 날씨에 노출되는 것일 수 있으며, 이것을 피하는 것이 중요합니다. 꼼꼼한 계획을 좋아하는 저는 말이 많고 돋보이는 사람보다는 조용하고 여유로운 동행을 선호합니다. 이번 여행에서 문화와 역사체험을 가장 기대하며, 다양한 공연과 경기를 관람하고 싶습니다. 그런 경험이 제 인생에 풍성한 기억과 여유를 더해주기를 바랍니다.","이 사용자는 세계일주 지역을 선호하고, 더움 기후를 피하고 싶어해요. 여행 목적은 문화&역사체험이며, 에어비엔비에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",,
390,꽤 민감,보통,많다,종종 늦음,무조건 리드,5,보통,매우 여유있게,국내,바다,계획 여행,적당히 봄,코골이 안함,다른 곳 간다,"동남아,국내,중국&몽골","습함,건조함,상관없음","자연감상,휴식,사람&관계","민박,콘도,게스트하우스",오전 8-9시,100만원 이하,"저는 여행 중 예전에 시간을 잘 지키지 못해 일정에 차질이 생긴 경험이 최악으로 기억에 남습니다. 그래서 이번 여행에는 여유로운 일정 속에서도 자연을 충분히 감상할 수 있는 계획이 필수적입니다. 함께 여행을 가고 싶은 사람은 대화를 잘 나눌 수 있고, 제 리더십을 존중하며 계획을 함께 세울 수 있는 사람입니다. 이번 여행에서는 특히 바다의 풍경을 보며 휴식을 취하는 것을 가장 기대하고 있습니다. 이를 통해 새로운 사람들을 만나고 관계를 형성하며, 일상에서 벗어난 힐링의 시간이 되었으면 좋겠습니다.","이 사용자는 동남아 지역을 선호하고, 습함 기후를 피하고 싶어해요. 여행 목적은 자연감상이며, 민박에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",,
391,둔감,매우 수용적,적다,자주 늦음,무조건 따름,3,매우 둔감,매우 여유있게,해외,바다,즉흥 여행,무조건 다 봄,코골이 함,다른 곳 간다,"그 외,국내,세계일주","더움,추움,건조함","기록,쇼핑,자연감상","펜션,상관없음,게스트하우스",오전 9-10시,400만원 이상,"저는 여행 중 최악의 경험으로 날씨가 너무 덥거나 추워 고생했던 순간을 꼽을 수 있을 것 같아요. 이번 여행에서는 여유로운 일정 속에서도 다양한 쇼핑 기회를 놓치고 싶지 않아요. 함께 여행을 가는 사람은 저처럼 일정에 얽매이지 않고 즉흥적인 계획을 즐길 수 있는 사람이면 좋겠어요. 특히 이번 여행에서 기대하는 것은 해외의 다양한 자연을 감상하는 것이고, 이러한 경험이 저에게 더 넓은 세상을 이해하고 기록할 수 있는 기회를 주었으면 해요. 여행이 저의 삶에 새로운 시각과 영감을 주기를 바랍니다.","이 사용자는 세계일주 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 쇼핑이며, 펜션에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",,
392,매우 민감,보통,많다,꽤 정확,보통,5,매우 민감,보통,해외,바다,계획 여행,무조건 다 봄,코골이 안함,다른 곳 간다,"그 외,미국,일본","상관없음,쌀쌀함,추움","쇼핑,문화&역사체험,도전과성장","4-5성급호텔,게스트하우스,펜션",오전 10시 이후,400만원 이상,"저는 여행 중에 청결하지 않은 숙소나 계획에 어긋나는 경우가 최악의 경험으로 다가오곤 했습니다. 이번 여행에서는 철저한 계획과 함께 랜드마크를 꼭 방문하고 싶고, 아침에 일찍 일어나지 않아도 되는 일정을 기대합니다. 같이 여행을 가고 싶은 사람은 시간을 잘 지키고, 청결에 민감한 사람이라면 좋겠습니다. 이번 여행에서 기대하는 것은 새로운 문화와 역사 체험을 통해 개인적으로 도전과 성장을 이루는 것입니다. 이 여행이 큰 쇼핑 욕구를 충족하고 제 삶에 활력을 주는 특별한 경험이 되었으면 합니다.","이 사용자는 그 외 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 쇼핑이며, 펜션에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",,
393,꽤 민감,다소 완고,적다,꽤 정확,무조건 리드,2,둔감,매우 빡빡하게,해외,산,즉흥 여행,적당히 봄,코골이 안함,기다림,"미국,세계일주,동남아","추움,쌀쌀함,상관없음","사람&관계,기록,액티비티","민박,펜션,게스트하우스",오전 10시 이후,400만원 이상,저는 세계일주를 계획하며 기록을 중시하는 여행을 즐깁니다. 과거 여행 중 계획을 따르지 않은 사람들 때문에 시간 약속이 어긋나 최악의 경험을 한 적이 있어 이번에는 시간 관리를 철저히 하고 싶습니다. 함께 여행을 가고 싶은 사람은 대화가 적더라도 일정에 충실히 따르는 사람이면 좋겠다고 생각합니다. 이번 여행에서 특히 기대하는 것은 다양한 문화 속에서 인간관계를 쌓고 기록하는 과정입니다. 이러한 경험이 저에게 새로운 시각을 제공하며 앞으로의 삶에 끊임없는 동기 부여가 되었으면 합니다.,"이 사용자는 세계일주 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 기록이며, 게스트하우스에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",,
394,매우 둔감,보통,매우 많다,보통,무조건 리드,3,보통,꽤 빡빡하게,해외,산,계획 여행,무조건 다 봄,코골이 함,기다림,"유럽,중국&몽골,동남아","쌀쌀함,추움,습함","액티비티,도전과성장,미식","상관없음,민박,콘도",오전 8-9시,400만원 이상,"저는 해외 여행 중 쌀쌀하거나 습한 날씨 때문에 불편했던 경험이 있습니다. 이번 여행에서는 미식을 위해 다양한 음식을 맛볼 수 있는 기회를 꼭 가져야겠다고 생각합니다. 말이 많고, 리드하는 걸 좋아하는 제가 함께 여행하고 싶은 사람은 의견을 수용할 수 있는 유연한 사람입니다. 이번 여행에서 가장 기대하는 것은 액티비티를 통해 도전과 성장을 경험하는 것입니다. 이 여행이 제 삶에 새로운 활력을 주고, 더 넓은 시야와 미식을 통한 행복을 가져왔으면 좋겠습니다.","이 사용자는 유럽 지역을 선호하고, 습함 기후를 피하고 싶어해요. 여행 목적은 미식이며, 상관없음에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",,
395,둔감,보통,매우 많다,종종 늦음,리드하는편,5,보통,보통,해외,산,계획 여행,적당히 봄,코골이 함,기다림,"국내,그 외,미국","더움,상관없음,쌀쌀함","사람&관계,기록,미식","상관없음,펜션,4-5성급호텔",오전 8-9시,100만원 이하,"저는 여행 중 계획대로 되지 않거나 늦는 상황을 별로 좋아하지 않아, 일정이 엉키고 지체되는 경험이 최악이라고 생각합니다. 이번 여행에서 꼭 필요한 것은 호텔에서의 편안한 숙박이며, 4-5성급 호텔에서 머무는 것을 선호합니다. 함께 여행하고 싶은 사람은 대화를 많이 나눌 수 있고, 예민함이 덜하며 여유롭게 기다릴 줄 아는 사람이면 좋겠습니다. 이번 여행에서 가장 기대하는 것은 사람들과의 교류와 경험을 통해 새로운 관계를 맺는 것이며, 기록으로 남길 특별한 순간들을 만드는 것입니다. 이러한 여행은 제 삶에 소중한 추억과 관계를 쌓는 기회가 되었으면 합니다.","이 사용자는 국내 지역을 선호하고, 쌀쌀함 기후를 피하고 싶어해요. 여행 목적은 기록이며, 4-5성급호텔에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",,
396,꽤 민감,수용적,매우 적다,보통,무조건 리드,1,둔감,꽤 빡빡하게,해외,바다,계획 여행,적당히 봄,코골이 안함,기다림,"그 외,동남아,유럽","추움,습함,상관없음","기록,문화&역사체험,액티비티","3성이하 호텔,게스트하우스,펜션",오전 8-9시,400만원 이상,"저는 여행 중 가장 최악의 경험으로 추운 날씨를 겪은 것을 꼽을 수 있습니다. 그래서 이번 여행에서는 날씨가 적당히 따뜻한 동남아 지역을 선택했으며, 훌륭한 액티비티 프로그램이 꼭 포함되었으면 좋겠습니다. 저는 주로 조용하고 민감한 성격이라 함께 여행할 사람은 이해심이 많고 세심한 사람이어야 합니다. 또한 이번 여행에서 가장 기대하는 것은 다양한 문화와 역사를 체험하며 새로운 기록을 남기는 것입니다. 이런 경험을 통해 제 삶에 새로운 시각을 불어넣고 싶습니다.","이 사용자는 동남아 지역을 선호하고, 습함 기후를 피하고 싶어해요. 여행 목적은 액티비티이며, 펜션에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",,
397,꽤 민감,다소 완고,매우 적다,꽤 정확,무조건 따름,5,둔감,보통,국내,산,계획 여행,무조건 다 봄,코골이 안함,기다림,"일본,동남아,중국&몽골","습함,추움,쌀쌀함","기록,미식,쇼핑","3성이하 호텔,4-5성급호텔,상관없음",오전 9-10시,200-300만원,저는 여행 중 계획이 틀어질 때 가장 큰 스트레스를 받는 편이라 정확한 시간 약속을 지키기 위해 노력합니다. 이번 여행에서 가장 중요하게 생각하는 건 미식을 제대로 즐기는 것입니다. 따라서 함께 여행할 사람도 맛있는 음식을 즐길 줄 아는 사람이었으면 좋겠습니다. 이 여행에서 제가 가장 기대하는 것은 다양한 미식을 통해 새로운 경험을 기록하는 것입니다. 제 여행이 일상에서의 탈출이자 새로운 영감을 얻는 계기가 되었으면 합니다.,"이 사용자는 동남아 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 미식이며, 4-5성급호텔에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",,
398,매우 둔감,매우 완고,보통,자주 늦음,리드하는편,3,매우 둔감,꽤 여유있게,국내,바다,계획 여행,적당히 봄,코골이 함,기다림,"동남아,유럽,그 외","상관없음,더움,추움","휴식,액티비티,공연&경기관람","민박,콘도,에어비엔비",오전 10시 이후,100만원 이하,"저는 여행 중 쉴 수 없는 상황이 최악이었는데, 예를 들면 너무 빡빡한 일정으로 편하게 쉬지 못할 때가 있었습니다. 그래서 이번 여행에서는 충분한 휴식 시간을 확보하고자 하며, 아침 여유로운 기상도 빠뜨리지 않고 싶습니다. 함께 가고 싶은 사람은 저와 비슷하게 계획적이되 융통성이 있는 사람이면 좋겠습니다. 특히 이번 여행에서는 공연이나 경기를 관람하며 새로운 경험을 기대하고 있으며, 이를 통해 일상에서 벗어나 즐거운 추억을 만드는 것이 중요합니다. 여행을 통해 삶의 활력을 되찾고 일상의 스트레스를 해소하는 의미가 있었으면 좋겠습니다.","이 사용자는 그 외 지역을 선호하고, 상관없음 기후를 피하고 싶어해요. 여행 목적은 휴식이며, 콘도에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",,
399,매우 민감,매우 완고,보통,매우 정확,무조건 따름,4,매우 둔감,매우 여유있게,해외,산,즉흥 여행,적당히 봄,코골이 함,다른 곳 간다,"일본,세계일주,유럽","추움,상관없음,건조함","도전과성장,휴식,액티비티","상관없음,민박,콘도",오전 9-10시,300-400만원,"저는 여행에서 코골이가 심해 친구들과 함께 숙면을 취하지 못했던 경험이 최악이었습니다. 그래서 이번 여행에는 편안히 잘 수 있는 조건이 꼭 있었으면 좋겠습니다. 함께 여행하고 싶은 사람은 유연하고 즉흥적인 스타일로, 무리하지 않고 여유롭게 일정을 즐길 수 있는 사람입니다. 일본을 포함한 여러 나라로 세계일주를 하며 도전과 성장을 기대하고 있으며, 특히 액티비티와 새로운 문화 경험을 통해 많은 것을 배우고 싶습니다. 이번 여행이 저에게는 새로운 도전과 성장을 통해 삶에 새로운 활력을 불어넣는 의미가 되었으면 합니다.","이 사용자는 일본 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 도전과성장이며, 민박에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",,
400,꽤 민감,매우 수용적,보통,꽤 정확,무조건 리드,5,매우 민감,매우 여유있게,국내,바다,계획 여행,무조건 다 봄,코골이 함,다른 곳 간다,"미국,그 외,동남아","건조함,추움,습함","공연&경기관람,문화&역사체험,액티비티","민박,3성이하 호텔,게스트하우스",오전 10시 이후,100만원 이하,"저는 국내 여행을 선호하며, 특히 바다를 좋아합니다. 과거 여행 중에는 약속 시간에 늦거나 코 골이로 인해 숙면을 방해받는 일이 있었던 것이 최악의 경험 중 하나였어요. 그래서 이번 여행에서는 반드시 편안한 숙소 환경을 확보하고 싶습니다. 함께 여행을 가고 싶은 사람은 서로의 의견을 잘 수용하며 여유로운 일정 가운데서 리더십을 발휘할 수 있는 사람이면 좋겠습니다. 여행에서는 다양한 문화와 역사를 체험하며, 공연이나 경기를 관람할 것을 기대하고 있습니다. 이번 여행은 일상에서 벗어나 새로운 경험을 통해 삶에 활력을 불어넣는 의미를 가지길 바랍니다.","이 사용자는 동남아 지역을 선호하고, 습함 기후를 피하고 싶어해요. 여행 목적은 액티비티이며, 민박에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",,
401,매우 둔감,수용적,적다,자주 늦음,리드하는편,5,꽤 민감,매우 빡빡하게,국내,바다,즉흥 여행,적당히 봄,코골이 함,다른 곳 간다,"국내,미국,세계일주","건조함,추움,습함","도전과성장,기록,문화&역사체험","에어비엔비,민박,3성이하 호텔",오전 10시 이후,400만원 이상,"여행 중 가장 최악의 경험은 건조하거나 추운 날씨로 인해 불편했던 순간들이었어요. 그래서 이번 여행에서는 다양한 경험을 기록할 수 있도록 적당한 날씨와 함께하는 것이 중요해요. 함께 여행할 사람이라면 수용적이고 침착하게 일정을 즐길 수 있는 사람들이 좋을 것 같아요. 이번 여행에서 가장 기대되는 것은 새로운 문화와 역사를 체험하며 개인적으로 성장하는 것입니다. 여행을 통해 제 삶에 도전과 성장을 불어넣고, 새로운 관점들을 기록해나가는 기회로 삼고 싶어요.","이 사용자는 미국 지역을 선호하고, 건조함 기후를 피하고 싶어해요. 여행 목적은 기록이며, 에어비엔비에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",,
402,꽤 민감,수용적,보통,보통,따르는 편,1,둔감,매우 빡빡하게,해외,산,즉흥 여행,적당히 봄,코골이 함,기다림,"일본,국내,그 외","상관없음,더움,습함","사람&관계,액티비티,자연감상","민박,콘도,상관없음",오전 9-10시,400만원 이상,"저는 해외 여행을 즐기는 편으로, 특히 일본에 관심이 많습니다. 여행 중 최악의 경험은 너무 더운 기후에서의 액티비티로, 이는 예민함 때문이기도 하고 체력이 낮아 힘들었기 때문입니다. 이번 여행에서는 액티비티를 위해 편안한 콘도에서의 휴식이 꼭 필요합니다. 같이 여행할 사람은 유연하고 관대해서 일정이 즉흥적으로 변경될 때도 잘 따라올 수 있는 사람이면 좋겠습니다. 이번 여행에서는 자연을 감상하며 사람들과의 관계를 맺는 것을 가장 기대하고 있습니다. 여행의 경험이 앞으로의 인간관계에 긍정적인 영향을 주고, 새로운 에너지를 얻는 기회가 되기를 바랍니다.","이 사용자는 국내 지역을 선호하고, 상관없음 기후를 피하고 싶어해요. 여행 목적은 액티비티이며, 콘도에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",,
